dma,week,period,group,trx,dtc_tv_spend_alloc
DMA039,2025-11-24,pre,exposed,287,0
DMA039,2025-12-01,pre,exposed,288,0
DMA039,2025-12-08,pre,exposed,281,0
DMA039,2025-12-15,pre,exposed,301,0
DMA039,2025-12-22,pre,exposed,281,0
DMA039,2025-12-29,pre,exposed,271,0
DMA039,2026-01-05,pre,exposed,289,0
DMA039,2026-01-12,test,exposed,292,7263
DMA039,2026-01-19,test,exposed,319,11228
DMA039,2026-01-26,test,exposed,337,9540
DMA039,2026-02-02,test,exposed,325,11319
DMA039,2026-02-09,test,exposed,318,10505
DMA039,2026-02-16,test,exposed,301,9981
DMA039,2026-02-23,test,exposed,295,9983
DMA039,2026-03-02,test,exposed,314,8252
DMA040,2025-11-17,pre,exposed,223,0
DMA040,2025-11-24,pre,exposed,228,0
DMA040,2025-12-01,pre,exposed,243,0
DMA040,2025-12-08,pre,exposed,240,0
DMA040,2025-12-15,pre,exposed,248,0
DMA040,2025-12-22,pre,exposed,240,0
DMA040,2025-12-29,pre,exposed,211,0
DMA040,2026-01-05,pre,exposed,239,0
DMA040,2026-01-12,test,exposed,234,5165
DMA040,2026-01-19,test,exposed,272,7984
DMA040,2026-01-26,test,exposed,260,6784
DMA040,2026-02-02,test,exposed,282,8049
DMA040,2026-02-09,test,exposed,253,7470
DMA040,2026-02-16,test,exposed,269,7098
DMA040,2026-02-23,test,exposed,252,7099
DMA040,2026-03-02,test,exposed,265,5868
